Datetime,level
2024-09-28 04:10:00,4.587
2024-11-18 19:25:00,2.476
2024-11-18 19:40:00,2.476
2024-11-18 21:55:00,2.496
2024-11-18 23:25:00,2.49
2024-11-19 00:25:00,2.475
2024-11-19 02:55:00,2.466
2024-11-19 04:10:00,2.444
2024-11-19 05:25:00,2.427
2024-11-19 07:30:00,2.42
2024-11-19 08:10:00,2.43
2024-11-19 10:25:00,2.456
2024-11-19 11:40:00,2.464
2024-11-19 12:55:00,2.458
2024-11-19 15:05:00,2.444
2024-11-19 15:40:00,2.438
2024-11-19 17:55:00,2.405
2024-11-19 20:05:00,2.377
2024-11-19 20:40:00,2.376
2024-11-19 22:55:00,2.384
2024-11-19 23:10:00,2.383
2024-11-20 01:25:00,2.369
2024-11-20 02:40:00,2.355
2024-11-20 04:10:00,2.334
2024-11-20 06:25:00,2.303
2024-11-20 07:40:00,2.291
2024-11-20 08:55:00,2.298
2024-11-20 11:05:00,2.329
2024-11-20 11:40:00,2.335
2024-11-20 13:55:00,2.328
2024-11-20 15:10:00,2.317
2024-11-20 16:25:00,2.306
2024-11-20 18:55:00,2.279
2024-11-20 20:05:00,2.265
2024-11-20 21:25:00,2.256
2024-11-20 22:40:00,2.263
2024-11-20 23:55:00,2.27
2024-11-21 02:25:00,2.252
2024-11-21 03:40:00,2.244
2024-11-21 04:55:00,2.227
2024-11-21 07:00:00,2.201
2024-11-21 07:05:00,2.202
2024-11-21 07:10:00,2.198
2024-11-21 07:15:00,2.197
2024-11-21 07:20:00,2.191
2024-11-21 07:25:00,2.194
2024-11-21 07:30:00,2.19
2024-11-21 07:35:00,2.195
2024-11-21 07:40:00,2.19
2024-11-21 07:45:00,2.189
2024-11-21 07:50:00,2.185
2024-11-21 07:55:00,2.189
2024-11-21 08:00:00,2.184
2024-11-21 08:05:00,2.184
2024-11-21 08:10:00,2.178
2024-11-21 08:15:00,2.18
2024-11-21 08:20:00,2.184
2024-11-21 08:25:00,2.182
2024-11-21 08:30:00,2.176
2024-11-21 08:35:00,2.179
2024-11-21 08:40:00,2.186
2024-11-21 08:45:00,2.182
2024-11-21 08:50:00,2.183
2024-11-21 08:55:00,2.183
2024-11-21 09:00:00,2.185
2024-11-21 09:05:00,2.181
2024-11-21 09:10:00,2.183
2024-11-21 09:15:00,2.185
2024-11-21 09:20:00,2.187
2024-11-21 09:25:00,2.188
2024-11-21 09:30:00,2.189
2024-11-21 09:35:00,2.19
2024-11-21 09:40:00,2.187
2024-11-21 09:45:00,2.189
2024-11-21 09:50:00,2.192
2024-11-21 09:55:00,2.193
2024-11-21 10:00:00,2.193
2024-11-21 10:05:00,2.194
2024-11-21 10:10:00,2.201
2024-11-21 10:15:00,2.199
2024-11-21 10:20:00,2.202
2024-11-21 10:25:00,2.204
2024-11-21 10:30:00,2.205
2024-11-21 10:35:00,2.206
2024-11-21 10:40:00,2.207
2024-11-21 10:45:00,2.21
2024-11-21 10:50:00,2.212
2024-11-21 10:55:00,2.212
2024-11-21 11:00:00,2.215
2024-11-21 11:05:00,2.211
2024-11-21 11:10:00,2.215
2024-11-21 11:15:00,2.218
2024-11-21 11:20:00,2.218
2024-11-21 11:25:00,2.218
2024-11-21 11:30:00,2.223
2024-11-21 11:35:00,2.221
2024-11-21 11:40:00,2.225
2024-11-21 11:45:00,2.226
2024-11-21 11:50:00,2.227
2024-11-21 11:55:00,2.229
2024-11-21 12:00:00,2.23
2024-11-21 12:05:00,2.231
2024-11-21 12:10:00,2.232
2024-11-21 12:15:00,2.233
2024-11-21 12:20:00,2.233
2024-11-21 12:25:00,2.234
2024-11-21 12:30:00,2.234
2024-11-21 12:35:00,2.234
2024-11-21 12:40:00,2.233
2024-11-21 12:45:00,2.234
2024-11-21 12:50:00,2.23
2024-11-21 12:55:00,2.234
2024-11-21 13:00:00,2.233
2024-11-21 13:05:00,2.233
2024-11-21 13:10:00,2.234
2024-11-21 13:15:00,2.232
2024-11-21 13:20:00,2.234
2024-11-21 13:25:00,2.232
2024-11-21 13:30:00,2.233
2024-11-21 13:35:00,2.232
2024-11-21 13:40:00,2.233
2024-11-21 13:45:00,2.23
2024-11-21 13:50:00,2.231
2024-11-21 13:55:00,2.231
2024-11-21 14:00:00,2.231
2024-11-21 14:05:00,2.229
2024-11-21 14:10:00,2.229
2024-11-21 14:15:00,2.229
2024-11-21 14:20:00,2.228
2024-11-21 14:25:00,2.228
2024-11-21 14:30:00,2.228
2024-11-21 14:35:00,2.227
2024-11-21 14:40:00,2.227
2024-11-21 14:45:00,2.227
2024-11-21 14:50:00,2.226
2024-11-21 15:05:00,2.224
2024-11-21 15:10:00,2.223
2024-11-21 15:25:00,2.222
2024-11-21 15:30:00,2.221
2024-11-21 15:35:00,2.221
2024-11-21 15:40:00,2.22
2024-11-21 15:45:00,2.22
2024-11-21 15:50:00,2.22
2024-11-21 16:00:00,2.218
2024-11-21 16:05:00,2.218
2024-11-21 16:10:00,2.218
2024-11-21 16:15:00,2.217
2024-11-21 16:20:00,2.217
2024-11-21 16:25:00,2.216
2024-11-21 16:30:00,2.215
2024-11-21 16:35:00,2.214
2024-11-21 16:40:00,2.213
2024-11-21 16:45:00,2.211
2024-11-21 16:50:00,2.212
2024-11-21 16:55:00,2.212
2024-11-21 17:00:00,2.21
2024-11-21 17:05:00,2.209
2024-11-21 17:10:00,2.208
2024-11-21 17:15:00,2.208
2024-11-21 17:20:00,2.208
2024-11-21 17:25:00,2.207
2024-11-21 17:30:00,2.206
2024-11-21 17:35:00,2.205
2024-11-21 17:40:00,2.203
2024-11-21 17:45:00,2.201
2024-11-21 17:50:00,2.196
2024-11-21 17:55:00,2.201
2024-11-21 18:00:00,2.2
2024-11-21 18:05:00,2.2
2024-11-21 18:10:00,2.198
2024-11-21 18:15:00,2.197
2024-11-21 18:20:00,2.197
2024-11-21 18:25:00,2.195
2024-11-21 18:30:00,2.196
2024-11-21 18:35:00,2.195
2024-11-21 18:40:00,2.194
2024-11-21 18:45:00,2.192
2024-11-21 18:55:00,2.189
2024-11-21 19:00:00,2.189
2024-11-21 19:05:00,2.189
2024-11-21 19:10:00,2.187
2024-11-21 19:15:00,2.185
2024-11-21 19:20:00,2.183
2024-11-21 19:25:00,2.183
2024-11-21 19:30:00,2.182
2024-11-21 19:40:00,2.181
2024-11-21 19:45:00,2.18
2024-11-21 19:50:00,2.18
2024-11-21 19:55:00,2.179
2024-11-21 20:00:00,2.182
2024-11-21 20:05:00,2.178
2024-11-21 20:10:00,2.175
2024-11-21 20:15:00,2.173
2024-11-21 20:20:00,2.171
2024-11-21 20:30:00,2.171
2024-11-21 20:40:00,2.169
2024-11-21 20:45:00,2.168
2024-11-21 20:50:00,2.167
2024-11-21 20:55:00,2.168
2024-11-21 21:00:00,2.167
2024-11-21 21:05:00,2.165
2024-11-21 21:10:00,2.163
2024-11-21 21:15:00,2.161
2024-11-21 21:25:00,2.16
2024-11-21 21:30:00,2.161
2024-11-21 21:35:00,2.158
2024-11-21 21:40:00,2.158
2024-11-21 21:45:00,2.157
2024-11-21 21:50:00,2.157
2024-11-21 21:55:00,2.157
2024-11-21 22:00:00,2.155
2024-11-21 22:05:00,2.155
2024-11-21 22:10:00,2.155
2024-11-21 22:15:00,2.155
2024-11-21 22:20:00,2.155
2024-11-21 22:25:00,2.156
2024-11-21 22:30:00,2.155
2024-11-21 22:35:00,2.155
2024-11-21 22:40:00,2.154
2024-11-21 22:45:00,2.155
2024-11-21 22:50:00,2.156
2024-11-21 22:55:00,2.155
2024-11-21 23:00:00,2.156
2024-11-21 23:05:00,2.157
2024-11-21 23:10:00,2.157
2024-11-21 23:15:00,2.157
2024-11-21 23:20:00,2.158
2024-11-21 23:25:00,2.155
2024-11-21 23:30:00,2.159
2024-11-21 23:35:00,2.16
2024-11-21 23:40:00,2.161
2024-11-21 23:45:00,2.161
2024-11-21 23:55:00,2.161
2024-11-22 00:00:00,2.164
2024-11-22 00:05:00,2.164
2024-11-22 00:10:00,2.164
2024-11-22 00:15:00,2.164
2024-11-22 00:20:00,2.161
2024-11-22 00:25:00,2.164
2024-11-22 00:35:00,2.163
2024-11-22 00:40:00,2.162
2024-11-22 00:45:00,2.164
2024-11-22 00:50:00,2.163
2024-11-22 00:55:00,2.158
2024-11-22 01:00:00,2.163
2024-11-22 01:05:00,2.161
2024-11-22 01:15:00,2.163
2024-11-22 01:20:00,2.163
2024-11-22 01:25:00,2.156
2024-11-22 01:30:00,2.16
2024-11-22 01:35:00,2.161
2024-11-22 01:40:00,2.158
2024-11-22 01:45:00,2.161
2024-11-22 01:50:00,2.158
2024-11-22 01:55:00,2.16
2024-11-22 02:00:00,2.158
2024-11-22 02:05:00,2.158
2024-11-22 02:10:00,2.157
2024-11-22 02:15:00,2.153
2024-11-22 02:20:00,2.154
2024-11-22 02:25:00,2.156
2024-11-22 02:30:00,2.155
2024-11-22 02:35:00,2.156
2024-11-22 02:40:00,2.154
2024-11-22 02:45:00,2.154
2024-11-22 02:50:00,2.151
2024-11-22 02:55:00,2.153
2024-11-22 03:00:00,2.152
2024-11-22 03:05:00,2.152
2024-11-22 03:10:00,2.149
2024-11-22 03:15:00,2.149
2024-11-22 03:20:00,2.15
2024-11-22 03:25:00,2.149
2024-11-22 03:30:00,2.149
2024-11-22 03:35:00,2.147
2024-11-22 03:40:00,2.147
2024-11-22 03:45:00,2.145
2024-11-22 03:50:00,2.141
2024-11-22 03:55:00,2.144
2024-11-22 04:00:00,2.143
2024-11-22 04:05:00,2.142
2024-11-22 04:10:00,2.142
2024-11-22 04:15:00,2.141
2024-11-22 04:20:00,2.137
2024-11-22 04:25:00,2.139
2024-11-22 04:30:00,2.137
2024-11-22 04:35:00,2.13
2024-11-22 04:40:00,2.135
2024-11-22 04:45:00,2.134
2024-11-22 04:50:00,2.135
2024-11-22 04:55:00,2.13
2024-11-22 05:00:00,2.133
2024-11-22 05:05:00,2.132
2024-11-22 05:10:00,2.126
2024-11-22 05:15:00,2.129
2024-11-22 05:20:00,2.127
2024-11-22 05:25:00,2.125
2024-11-22 05:30:00,2.118
2024-11-22 05:35:00,2.122
2024-11-22 05:40:00,2.122
2024-11-22 05:45:00,2.124
2024-11-22 05:50:00,2.119
2024-11-22 06:00:00,2.117
2024-11-22 06:05:00,2.111
2024-11-22 06:10:00,2.116
2024-11-22 06:15:00,2.113
2024-11-22 06:20:00,2.109
2024-11-22 06:25:00,2.112
2024-11-22 06:30:00,2.114
2024-11-22 06:35:00,2.11
2024-11-22 06:40:00,2.112
2024-11-22 06:45:00,2.112
2024-11-22 06:50:00,2.106
2024-11-22 06:55:00,2.108
2024-11-22 07:00:00,2.106
2024-11-22 07:05:00,2.106
2024-11-22 07:10:00,2.105
2024-11-22 07:15:00,2.102
2024-11-22 07:20:00,2.099
2024-11-22 07:25:00,2.101
2024-11-22 07:30:00,2.101
2024-11-22 07:35:00,2.099
2024-11-22 07:40:00,2.098
2024-11-22 07:45:00,2.097
2024-11-22 07:50:00,2.096
2024-11-22 07:55:00,2.094
2024-11-22 08:00:00,2.093
2024-11-22 08:05:00,2.085
2024-11-22 08:10:00,2.091
2024-11-22 08:15:00,2.09
2024-11-22 08:20:00,2.089
2024-11-22 08:25:00,2.09
2024-11-22 08:30:00,2.088
2024-11-22 08:35:00,2.084
2024-11-22 08:40:00,2.085
2024-11-22 08:45:00,2.085
2024-11-22 08:50:00,2.086
2024-11-22 08:55:00,2.083
2024-11-22 09:00:00,2.082
2024-11-22 09:10:00,2.081
2024-11-22 09:15:00,2.082
2024-11-22 09:20:00,2.08
2024-11-22 09:25:00,2.075
2024-11-22 09:30:00,2.077
2024-11-22 09:35:00,2.076
2024-11-22 09:40:00,2.079
2024-11-22 09:45:00,2.079
2024-11-22 09:50:00,2.076
2024-11-22 09:55:00,2.08
2024-11-22 10:00:00,2.078
2024-11-22 10:05:00,2.074
2024-11-22 10:10:00,2.08
2024-11-22 10:15:00,2.082
2024-11-22 10:20:00,2.08
2024-11-22 10:25:00,2.083
2024-11-22 10:30:00,2.08
2024-11-22 10:35:00,2.084
2024-11-22 10:40:00,2.084
2024-11-22 10:45:00,2.089
2024-11-22 10:55:00,2.09
2024-11-22 11:00:00,2.086
2024-11-22 11:05:00,2.095
2024-11-22 11:10:00,2.095
2024-11-22 11:15:00,2.097
2024-11-22 11:20:00,2.097
2024-11-22 11:25:00,2.099
2024-11-22 11:30:00,2.103
2024-11-22 11:35:00,2.098
2024-11-22 11:40:00,2.1
2024-11-22 11:45:00,2.107
2024-11-22 11:50:00,2.108
2024-11-22 11:55:00,2.104
2024-11-22 12:00:00,2.108
2024-11-22 12:05:00,2.112
2024-11-22 12:10:00,2.112
2024-11-22 12:15:00,2.114
2024-11-22 12:20:00,2.117
2024-11-22 12:30:00,2.118
2024-11-22 12:35:00,2.115
2024-11-22 12:40:00,2.119
2024-11-22 12:45:00,2.12
2024-11-22 12:50:00,2.117
2024-11-22 12:55:00,2.119
2024-11-22 13:00:00,2.123
2024-11-22 13:05:00,2.123
2024-11-22 13:10:00,2.125
2024-11-22 13:15:00,2.126
2024-11-22 13:20:00,2.121
2024-11-22 13:25:00,2.126
2024-11-22 13:30:00,2.127
2024-11-22 13:35:00,2.126
2024-11-22 13:40:00,2.127
2024-11-22 13:45:00,2.126
2024-11-22 13:50:00,2.127
2024-11-22 13:55:00,2.123
2024-11-22 14:00:00,2.126
2024-11-22 14:05:00,2.12
2024-11-22 14:10:00,2.123
2024-11-22 14:15:00,2.126
2024-11-22 14:20:00,2.127
2024-11-22 14:25:00,2.126
2024-11-22 14:30:00,2.127
2024-11-22 14:35:00,2.126
2024-11-22 14:40:00,2.124
2024-11-22 14:45:00,2.126
2024-11-22 14:50:00,2.125
2024-11-22 14:55:00,2.125
2024-11-22 15:00:00,2.124
2024-11-22 15:05:00,2.124
2024-11-22 15:10:00,2.124
2024-11-22 15:20:00,2.123
2024-11-22 15:25:00,2.123
2024-11-22 15:30:00,2.122
2024-11-22 15:35:00,2.122
2024-11-22 15:40:00,2.12
2024-11-22 15:45:00,2.121
2024-11-22 15:50:00,2.121
2024-11-22 15:55:00,2.121
2024-11-22 16:00:00,2.121
2024-11-22 16:05:00,2.121
2024-11-22 16:20:00,2.12
2024-11-22 16:25:00,2.119
2024-11-22 16:35:00,2.119
2024-11-22 16:40:00,2.118
2024-11-22 16:45:00,2.117
2024-11-22 16:50:00,2.118
2024-11-22 16:55:00,2.116
2024-11-22 17:00:00,2.117
2024-11-22 17:05:00,2.116
2024-11-22 17:10:00,2.114
2024-11-22 17:15:00,2.115
2024-11-22 17:20:00,2.116
2024-11-22 17:25:00,2.116
2024-11-22 17:30:00,2.114
2024-11-22 17:35:00,2.113
2024-11-22 17:40:00,2.113
2024-11-22 17:45:00,2.111
2024-11-22 17:50:00,2.11
2024-11-22 17:55:00,2.108
2024-11-22 18:00:00,2.109
2024-11-22 18:05:00,2.109
2024-11-22 18:10:00,2.108
2024-11-22 18:15:00,2.107
2024-11-22 18:20:00,2.107
2024-11-22 18:25:00,2.107
2024-11-22 18:30:00,2.105
2024-11-22 18:35:00,2.105
2024-11-22 18:40:00,2.103
2024-11-22 18:45:00,2.101
2024-11-22 18:50:00,2.102
2024-11-22 18:55:00,2.101
2024-11-22 19:00:00,2.1
2024-11-22 19:05:00,2.097
2024-11-22 19:10:00,2.098
2024-11-22 19:15:00,2.098
2024-11-22 19:20:00,2.097
2024-11-22 19:25:00,2.098
2024-11-22 19:30:00,2.096
2024-11-22 19:35:00,2.095
2024-11-22 19:45:00,2.093
2024-11-22 19:50:00,2.093
2024-11-22 19:55:00,2.092
2024-11-22 20:00:00,2.09
2024-11-22 20:10:00,2.089
2024-11-22 20:15:00,2.087
2024-11-22 20:20:00,2.087
2024-11-22 20:25:00,2.086
2024-11-22 20:30:00,2.085
2024-11-22 20:35:00,2.083
2024-11-22 20:40:00,2.083
2024-11-22 20:45:00,2.082
2024-11-22 20:50:00,2.082
2024-11-22 20:55:00,2.081
2024-11-22 21:05:00,2.067
2024-11-22 21:10:00,2.077
2024-11-22 21:15:00,2.076
2024-11-22 21:20:00,2.069
2024-11-22 21:25:00,2.074
2024-11-22 21:30:00,2.075
2024-11-22 21:35:00,2.073
2024-11-22 21:45:00,2.071
2024-11-22 21:50:00,2.07
2024-11-22 21:55:00,2.07
2024-11-22 22:00:00,2.067
2024-11-22 22:05:00,2.068
2024-11-22 22:15:00,2.064
2024-11-22 22:25:00,2.062
2024-11-22 22:30:00,2.062
2024-11-22 22:40:00,2.061
2024-11-22 22:45:00,2.061
2024-11-22 22:55:00,2.061
2024-11-22 23:00:00,2.06
2024-11-22 23:05:00,2.059
2024-11-22 23:10:00,2.059
2024-11-22 23:15:00,2.057
2024-11-22 23:20:00,2.058
2024-11-22 23:25:00,2.049
2024-11-22 23:30:00,2.059
2024-11-22 23:35:00,2.059
2024-11-22 23:40:00,2.058
2024-11-22 23:45:00,2.059
2024-11-22 23:50:00,2.06
2024-11-23 00:00:00,2.06
2024-11-23 00:05:00,2.06
2024-11-23 00:10:00,2.055
2024-11-23 00:15:00,2.056
2024-11-23 00:20:00,2.062
2024-11-23 00:25:00,2.063
2024-11-23 00:30:00,2.064
2024-11-23 00:35:00,2.065
2024-11-23 00:40:00,2.065
2024-11-23 00:45:00,2.066
2024-11-23 00:50:00,2.066
2024-11-23 00:55:00,2.064
2024-11-23 01:00:00,2.065
2024-11-23 01:05:00,2.065
2024-11-23 01:10:00,2.068
2024-11-23 01:15:00,2.066
2024-11-23 01:20:00,2.069
2024-11-23 01:25:00,2.068
2024-11-23 01:30:00,2.066
2024-11-23 01:40:00,2.072
2024-11-23 01:45:00,2.071
2024-11-23 01:50:00,2.071
2024-11-23 01:55:00,2.064
2024-11-23 02:05:00,2.071
2024-11-23 02:10:00,2.069
2024-11-23 02:15:00,2.07
2024-11-23 02:20:00,2.07
2024-11-23 02:25:00,2.07
2024-11-23 02:30:00,2.07
2024-11-23 02:35:00,2.062
2024-11-23 02:40:00,2.065
2024-11-23 02:45:00,2.068
2024-11-23 02:50:00,2.069
2024-11-23 02:55:00,2.068
2024-11-23 03:00:00,2.07
2024-11-23 03:10:00,2.068
2024-11-23 03:15:00,2.066
2024-11-23 03:20:00,2.065
2024-11-23 03:25:00,2.065
2024-11-23 03:30:00,2.063
2024-11-23 03:35:00,2.064
2024-11-23 03:40:00,2.062
2024-11-23 03:45:00,2.062
2024-11-23 03:50:00,2.06
2024-11-23 03:55:00,2.062
2024-11-23 04:00:00,2.062
2024-11-23 04:05:00,2.063
2024-11-23 04:10:00,2.063
2024-11-23 04:15:00,2.06
2024-11-23 04:20:00,2.054
2024-11-23 04:25:00,2.053
2024-11-23 04:30:00,2.054
2024-11-23 04:35:00,2.056
2024-11-23 04:40:00,2.055
2024-11-23 04:45:00,2.054
2024-11-23 04:50:00,2.053
2024-11-23 04:55:00,2.049
2024-11-23 05:00:00,2.049
2024-11-23 05:05:00,2.049
2024-11-23 05:10:00,2.053
2024-11-23 05:15:00,2.052
2024-11-23 05:20:00,2.05
2024-11-23 05:25:00,2.051
2024-11-23 05:30:00,2.052
2024-11-23 05:35:00,2.05
2024-11-23 05:40:00,2.04
2024-11-23 05:45:00,2.047
