id,idsite,latitude,longitude,site_name,description,owner,time_zone,active,status
sensors:1021,1021,22.8219972223706,90.5985611110263,CHAR RAMDASPUR,BHOLA,BIWTA,6,1,Active
sensors:1001,1001,23.0716500001483,90.4382777775658,NALMURI,SHARIATPUR,BIWTA,6,1,Active
sensors:1004,1004,23.5521111110846,90.4378805557887,KUNDER BAZAR,MUNSHIGANJ,BIWTA,6,1,Active
sensors:1009,1009,23.6168416666653,90.5060250001484,NARAYANGANJ (K),NARAYANGANJ,BIWTA,6,1,Active
sensors:1010,1010,23.9358083332909,90.6173861110873,GHORASAL,NARSINGDI,BIWTA,6,1,Active
sensors:1013,1013,24.4806027772692,90.9578638887405,CHAMRA GHAT,KISHOREGANJ,BIWTA,6,1,Active
sensors:1017,1017,22.1690805554389,90.4054250001907,GALACHIPA,PATUAKHALI,BIWTA,6,1,Active
sensors:1018,1018,22.2512444444497,90.5798249997033,DASMONIA,PATUAKHALI,BIWTA,6,1,Active
sensors:1020,1020,22.3665861108568,90.3227555555767,PATUAKHALI,PATUAKHALI,BIWTA,6,1,Active
sensors:1022,1022,22.9079749997457,90.3762666670481,NANDIR BAZAR,BARISAL,BIWTA,6,1,Active
sensors:1024,1024,22.8455805555979,90.4931222226885,LALKHARABAD,BARISAL,BIWTA,6,1,Active
sensors:1025,1025,21.8572833331426,90.1277888891432,KUAKATA,PATUAKHALI,BIWTA,6,1,Active
sensors:1029,1029,21.8706527778837,90.2569777780109,DHULASUR,PATUAKHALI,BIWTA,6,1,Active
sensors:1031,1031,22.4097555552589,90.8554833332698,TAJUMUDDIN,BHOLA,BIWTA,6,1,Active
sensors:1032,1032,22.0311222224765,89.9134138891432,PATHARGHATA,BORGUNA,BIWTA,6,1,Active
sensors:1033,1033,22.5272833336724,89.7585333331426,GHASHIAKHALI,BAGHERHAT,BIWTA,6,1,Active
sensors:1042,1042,22.3242638889949,91.8300750001272,SADARGHAT (CTG),CHITTRAGAM,BIWTA,6,1,Active
sensors:1049,1049,22.3415277777778,91.1548111110263,HATIA,NOAKHALI,BIWTA,6,1,Active
sensors:1015,1015,23.4627833334605,90.2832277774811,SHIMULIA,MUNSHIGANJ,BIWTA,6,1,Active
sensors:1016,1016,21.9823138893975,90.2258277776506,KHEPUPARA,PATUAKHALI,BIWTA,6,1,Active
sensors:1028,1028,21.9089333332909,90.5128583335876,CHAR MONTAJ,PATUAKHALI,BIWTA,6,1,Active
sensors:1035,1035,22.9337999999854,89.8063611110051,SINGATI,BAGHERHAT,BIWTA,6,1,Active
sensors:1044,1044,22.6576194445292,91.2258333333333,CHITALKHALI,LAXMIPUR,BIWTA,6,1,Active
sensors:1045,1045,23.2202361112171,90.6544555558099,CHANDPUR,CHANDPUR,BIWTA,6,1,Active
sensors:1003,1003,23.2268972227308,90.2196861110793,KALIKAPUR,MADARIPUR,BIWTA,6,1,Active
sensors:1023,1023,22.693594444063,90.3736555555132,BARISAL,BARISAL,BIWTA,6,1,Active
sensors:1026,1026,22.8148527781169,90.4414166667726,BHASAN CHAR (BR),BARISAL,BIWTA,6,1,Active
sensors:1027,1027,22.6316222222646,90.0592666668362,KAWKHALI,PIROJPUR,BIWTA,6,1,Active
sensors:1038,1038,22.0104138893551,89.3253250000212,ANGTIHARA,KHULNA,BIWTA,6,1,Active
sensors:1005,1005,22.8806500000424,89.9230999999576,PATGATI,GOPALGANJ,BIWTA,6,1,Active
sensors:1002,1002,23.9128138891856,90.716774999996,NARSINGDI,NARSINGDI,BIWTA,6,1,Active
sensors:1012,1012,23.659588889016,90.4567499997881,PAGLA,NARAYANGANJ,BIWTA,6,1,Timeout
sensors:1046,1046,23.4911638890372,90.6191722223494,SATNAL,CHANDPUR,BIWTA,6,1,Timeout
sensors:1034,1034,22.5460277779897,89.6873833333121,BETIBUNIA,BAGHERHAT,BIWTA,6,1,Timeout
sensors:1037,1037,22.9737444443173,89.4784194448259,FULTOLA,KHULNA,BIWTA,6,1,Timeout
sensors:1006,1006,23.2521111110846,89.9943111112383,SINDIAGHAT,GOPALGANJ,BIWTA,6,1,Timeout
sensors:1019,1019,22.5497611109416,90.5311222224765,DHULIA,PATUAKHALI,BIWTA,6,1,Timeout
sensors:1036,1036,23.0865305556191,89.6753916666243,BARDIA,NORAIL,BIWTA,6,1,Timeout
sensors:1039,1039,22.2298666667938,91.0713166666031,CHAR CHENGA,NOAKHALI,BIWTA,6,1,Timeout
sensors:1030,1030,22.1152611107296,90.9303638892704,MONPURA,BHOLA,BIWTA,6,1,Timeout
sensors:1050,1050,22.3567777776718,91.3697777777248,BHASAN CHAR (CTG),CHITTRAGAM,BIWTA,6,1,Timeout
sensors:1011,1011,23.8911277776294,90.3600555557675,ASHULIA,DHAKA,BIWTA,6,1,Active
sensors:1052,1052,24.5544527779685,91.227102777693,AJMERIGANJ,HOBIGANJ,BIWTA,6,1,Active
sensors:1053,1053,24.1325527773963,89.5884111113019,BAGHABARI,SIRAJGANJ,BIWTA,6,1,Active
sensors:1054,1054,23.9250806,89.2282694,SHELAIDAH,KUSHTIA,BIWTA,6,1,Active
sensors:1051,1051,25.0271361107296,91.6501555555562,CHATAK,SUNAMGANJ,BIWTA,6,1,Active
sensors:1014,1014,24.8125750001272,91.1150194443597,GHAGHLAJOR,NETROKONA,BIWTA,6,1,Active
sensors:1055,1055,23.890097,89.668944,KAZIR HAT,KUSHTIA,BIWTA,6,1,Active
sensors:1040,1040,20.8965027777354,92.2881972222858,TEKNAF,COXS BAZAR,BIWTA,6,1,Timeout
sensors:1041,1041,21.4607222217984,91.9684444444709,COXS BAZAR,COXS BAZAR,BIWTA,6,1,Timeout
sensors:1048,1048,21.813236111535,91.8751527775658,KUTUBDIA,COXS BAZAR,BIWTA,6,1,Timeout
sensors:1047,1047,20.6324527782864,92.328977777693,SAINTMARTIN,COXS BAZAR,BIWTA,6,1,Timeout
